,B,Epithelial,Macrophages,Mast,NK,Neutrophil,Plasma,T,mDC,pDC
RASL11A,0.0,0.02912621359223301,0.00626713670191931,0.0,0.0056022408963585435,0.0,0.07407407407407407,0.00528169014084507,0.034482758620689655,0.03125
ING1,0.07142857142857142,0.18770226537216828,0.0772424598511555,0.07692307692307693,0.036414565826330535,0.022919179734620022,0.14814814814814814,0.08934859154929578,0.05172413793103448,0.0625
HACE1,0.0,0.025889967637540454,0.011750881316098707,0.0,0.025210084033613446,0.0,0.018518518518518517,0.03917253521126761,0.02586206896551724,0.15625
ZFAND4,0.07142857142857142,0.061488673139158574,0.02561692126909518,0.0,0.014005602240896359,0.007237635705669481,0.08024691358024691,0.04709507042253521,0.0603448275862069,0.03125
LINC00909,0.07142857142857142,0.09385113268608414,0.08256952604778692,0.0,0.056022408963585436,0.019300361881785282,0.13580246913580246,0.07394366197183098,0.06896551724137931,0.21875
ZNF202,0.0,0.03559870550161812,0.019036427732079905,0.0,0.022408963585434174,0.0036188178528347406,0.030864197530864196,0.02068661971830986,0.0,0.03125
ZSCAN30,0.03571428571428571,0.042071197411003236,0.005797101449275362,0.0,0.0028011204481792717,0.0012062726176115801,0.012345679012345678,0.011003521126760563,0.008620689655172414,0.03125
CELSR1,0.0,0.2912621359223301,0.014649432040736389,0.0,0.0028011204481792717,0.0048250904704463205,0.024691358024691357,0.006161971830985915,0.008620689655172414,0.0625
ROBO1,0.0,0.10355987055016182,0.0021934978456717587,0.0,0.0,0.0,0.006172839506172839,0.00044014084507042255,0.02586206896551724,0.0
ASB6,0.0,0.11650485436893204,0.049432040736388565,0.0,0.05322128851540616,0.0048250904704463205,0.06172839506172839,0.08318661971830986,0.07758620689655173,0.09375
PPP1R3F,0.03571428571428571,0.045307443365695796,0.006423815119467293,0.0,0.0056022408963585435,0.0024125452352231603,0.006172839506172839,0.030369718309859156,0.017241379310344827,0.0
NTPCR,0.10714285714285714,0.2168284789644013,0.13787700744222484,0.0,0.13165266106442577,0.019300361881785282,0.24074074074074073,0.17517605633802816,0.06896551724137931,0.09375
CD2AP,0.35714285714285715,0.5210355987055016,0.26925186055620837,0.23076923076923078,0.15406162464985995,0.05307599517490953,0.3333333333333333,0.19982394366197184,0.3620689655172414,0.71875
TUBA1C,0.07142857142857142,0.5469255663430421,0.5338817077947513,0.15384615384615385,0.11484593837535013,0.12545235223160434,0.37037037037037035,0.3459507042253521,0.5344827586206896,0.34375
STAM2,0.0,0.21359223300970873,0.13333333333333333,0.0,0.0700280112044818,0.028950542822677925,0.1419753086419753,0.0625,0.12931034482758622,0.09375
CUTC,0.14285714285714285,0.07119741100323625,0.052643948296122206,0.07692307692307693,0.12324929971988796,0.009650180940892641,0.21604938271604937,0.16065140845070422,0.09482758620689655,0.0625
RMND5B,0.14285714285714285,0.20064724919093851,0.07238542890716804,0.0,0.011204481792717087,0.008443908323281062,0.2037037037037037,0.0448943661971831,0.12931034482758622,0.09375
SEC63,0.07142857142857142,0.3268608414239482,0.17681159420289855,0.07692307692307693,0.10644257703081232,0.014475271411338963,0.5308641975308642,0.1892605633802817,0.20689655172413793,0.4375
CDCA5,0.0,0.012944983818770227,0.0018018018018018018,0.0,0.008403361344537815,0.0,0.24691358024691357,0.18309859154929578,0.008620689655172414,0.0
FBXL8,0.0,0.05501618122977346,0.019663141402271836,0.07692307692307693,0.04481792717086835,0.0048250904704463205,0.08641975308641975,0.10695422535211267,0.07758620689655173,0.03125
PRPF19,0.03571428571428571,0.16828478964401294,0.09933411672542107,0.0,0.07282913165266107,0.009650180940892641,0.25925925925925924,0.19014084507042253,0.11206896551724138,0.25
OGFR,0.25,0.5080906148867314,0.5882491186839013,0.3076923076923077,0.39775910364145656,0.28468033775633295,0.4012345679012346,0.4652288732394366,0.46551724137931033,0.4375
NUDC,0.21428571428571427,0.5533980582524272,0.3070896983940462,0.23076923076923078,0.22408963585434175,0.05548854041013269,0.47530864197530864,0.39348591549295775,0.27586206896551724,0.34375
ANAPC2,0.07142857142857142,0.1262135922330097,0.054524089306698005,0.07692307692307693,0.0700280112044818,0.008443908323281062,0.2222222222222222,0.10299295774647887,0.034482758620689655,0.09375
DNPEP,0.21428571428571427,0.36893203883495146,0.3345867606737172,0.23076923076923078,0.21008403361344538,0.05307599517490953,0.43209876543209874,0.2680457746478873,0.3448275862068966,0.375
EIF2B1,0.21428571428571427,0.13915857605177995,0.09291030160595377,0.0,0.08123249299719888,0.0048250904704463205,0.345679012345679,0.18794014084507044,0.13793103448275862,0.15625
SPAST,0.03571428571428571,0.11326860841423948,0.0681551116333725,0.0,0.036414565826330535,0.018094089264173704,0.11728395061728394,0.07966549295774648,0.09482758620689655,0.0625
