,B,Epithelial,Macrophages,NK,Plasma,T,mDC,pDC
PDLIM7,0.06666666666666667,0.0,0.13392293114339862,0.0,0.0,0.09926470588235294,0.11739130434782609,0.0
ZNF223,0.0,0.0,0.010991787744788376,0.0,0.0,0.014705882352941176,0.0,0.0
IL7R,0.0,0.0,0.19772583701831964,0.2,0.0,0.2977941176470588,0.16521739130434782,0.0
EEF1G,0.26666666666666666,0.3076923076923077,0.3917877447883765,0.4,0.0,0.30514705882352944,0.3,0.3333333333333333
GTF2H4,0.0,0.0,0.0015161086544535692,0.0,0.0,0.0,0.0,0.0
TAB2,0.06666666666666667,0.15384615384615385,0.050410612760581175,0.0,0.0,0.0625,0.02608695652173913,0.0
UBE2E2,0.0,0.23076923076923078,0.3469361970941251,0.0,0.0,0.13602941176470587,0.16956521739130434,0.3333333333333333
BTAF1,0.0,0.15384615384615385,0.02514213518635502,0.0,0.0,0.022058823529411766,0.008695652173913044,0.0
EIF2B3,0.0,0.0,0.1198989260897031,0.2,0.0,0.09558823529411764,0.017391304347826087,0.0
MRPL44,0.06666666666666667,0.15384615384615385,0.10259001895135818,0.0,0.0,0.0625,0.05652173913043478,0.3333333333333333
CDK16,0.06666666666666667,0.0,0.03954516740366393,0.0,0.0,0.022058823529411766,0.017391304347826087,0.0
TBRG4,0.0,0.0,0.06279216677195198,0.0,0.0,0.03308823529411765,0.02608695652173913,0.0
ATF4,0.26666666666666666,0.23076923076923078,0.3075173720783323,0.2,0.0,0.3161764705882353,0.3521739130434783,0.0
AC016831.5,0.06666666666666667,0.07692307692307693,0.04118761844598863,0.0,0.0,0.0661764705882353,0.05652173913043478,0.3333333333333333
SETD1A,0.0,0.0,0.015413771320277953,0.0,0.0,0.025735294117647058,0.004347826086956522,0.0
ZNF787,0.0,0.0,0.033480732785849655,0.0,0.0,0.01838235294117647,0.021739130434782608,0.0
ZBTB37,0.06666666666666667,0.07692307692307693,0.03638660770688566,0.0,0.0,0.022058823529411766,0.013043478260869565,0.0
PPP2R5E,0.0,0.46153846153846156,0.13404927353126975,0.0,0.0,0.10294117647058823,0.05217391304347826,0.3333333333333333
KCTD21,0.0,0.0,0.0040429564118761845,0.0,0.0,0.003676470588235294,0.004347826086956522,0.0
HDGF,0.06666666666666667,0.46153846153846156,0.10777005685407454,0.0,0.0,0.17279411764705882,0.0391304347826087,0.0
UBE2V2,0.0,0.07692307692307693,0.1528742893240682,0.0,0.0,0.15441176470588236,0.07391304347826087,0.0
DBI,0.6,1.0,0.8660770688566014,0.4,0.0,0.5882352941176471,0.7565217391304347,0.3333333333333333
DPM2,0.0,0.07692307692307693,0.11383449147188882,0.0,0.0,0.11029411764705882,0.08260869565217391,0.0
SLC25A20,0.0,0.0,0.052684775742261526,0.0,0.0,0.029411764705882353,0.030434782608695653,0.0
MSL2,0.0,0.07692307692307693,0.06759317751105495,0.0,0.0,0.08823529411764706,0.021739130434782608,0.0
GGT1,0.0,0.0,0.008843967150979154,0.2,0.0,0.022058823529411766,0.004347826086956522,0.0
AL513550.1,0.0,0.0,0.006822488945041061,0.0,0.0,0.007352941176470588,0.004347826086956522,0.0
LAMP2,0.06666666666666667,0.38461538461538464,0.6663297536323437,0.0,0.0,0.3713235294117647,0.12608695652173912,0.0
TRAFD1,0.0,0.0,0.07479469361970942,0.0,0.0,0.04411764705882353,0.05217391304347826,0.0
ASB3,0.0,0.0,0.026531901452937462,0.0,0.0,0.03308823529411765,0.004347826086956522,0.0
CNIH1,0.13333333333333333,0.15384615384615385,0.33367024636765635,0.0,1.0,0.28308823529411764,0.1391304347826087,0.6666666666666666
TWISTNB,0.0,0.3076923076923077,0.07807959570435881,0.2,0.0,0.08455882352941177,0.034782608695652174,0.0
MYPOP,0.06666666666666667,0.0,0.01655085281111813,0.0,0.0,0.022058823529411766,0.004347826086956522,0.0
ZBTB2,0.06666666666666667,0.0,0.014276689829437776,0.0,0.0,0.014705882352941176,0.004347826086956522,0.0
TBK1,0.06666666666666667,0.23076923076923078,0.05862286797220467,0.0,0.0,0.03676470588235294,0.02608695652173913,0.0
LSS,0.0,0.07692307692307693,0.02173089071383449,0.0,0.0,0.003676470588235294,0.013043478260869565,0.3333333333333333
TLK2,0.0,0.23076923076923078,0.038408085912823756,0.0,0.0,0.03308823529411765,0.02608695652173913,0.0
GNE,0.0,0.23076923076923078,0.02173089071383449,0.0,0.0,0.01838235294117647,0.017391304347826087,0.0
LTV1,0.13333333333333333,0.07692307692307693,0.06430827542640556,0.0,0.0,0.04411764705882353,0.0391304347826087,0.0
THOC1,0.06666666666666667,0.15384615384615385,0.04826279216677195,0.0,0.0,0.04044117647058824,0.02608695652173913,0.0
CLCC1,0.0,0.15384615384615385,0.03992419456727732,0.0,0.0,0.04044117647058824,0.017391304347826087,0.0
CXORF40A,0.0,0.07692307692307693,0.026910928616550853,0.0,0.0,0.01838235294117647,0.008695652173913044,0.0
GTPBP2,0.06666666666666667,0.07692307692307693,0.06380290587492103,0.0,0.0,0.05514705882352941,0.008695652173913044,0.0
KLF10,0.2,0.15384615384615385,0.10789639924194568,0.2,0.0,0.10294117647058823,0.06956521739130435,0.0
GNAI2,0.26666666666666666,0.46153846153846156,0.5248262792166772,0.0,1.0,0.33455882352941174,0.29130434782608694,0.0
IDH2,0.0,0.15384615384615385,0.08199620972836387,0.0,0.0,0.23529411764705882,0.09565217391304348,0.0
RNF126,0.0,0.07692307692307693,0.0945041061276058,0.0,0.0,0.08823529411764706,0.04782608695652174,0.0
PABPN1,0.13333333333333333,0.46153846153846156,0.27176247631080225,0.0,1.0,0.21691176470588236,0.1565217391304348,0.3333333333333333
SNTB2,0.0,0.15384615384615385,0.037144662034112444,0.0,0.0,0.051470588235294115,0.004347826086956522,0.0
IPP,0.0,0.0,0.006317119393556538,0.0,0.0,0.003676470588235294,0.0,0.0
CADPS2,0.0,0.15384615384615385,0.018445988629185093,0.0,0.0,0.0,0.0,0.0
AGAP2,0.0,0.0,0.010360075805432722,0.2,0.0,0.011029411764705883,0.013043478260869565,0.0
UACA,0.06666666666666667,0.3076923076923077,0.07277321541377132,0.0,1.0,0.058823529411764705,0.013043478260869565,0.0
PIGC,0.06666666666666667,0.0,0.05483259633607075,0.0,0.0,0.04411764705882353,0.06521739130434782,0.0
PLXNA1,0.0,0.07692307692307693,0.023752368919772584,0.0,0.0,0.003676470588235294,0.017391304347826087,0.0
CERS6,0.13333333333333333,0.46153846153846156,0.17359444093493367,0.0,0.0,0.16176470588235295,0.08260869565217391,0.6666666666666666
SNHG25,0.3333333333333333,0.6153846153846154,0.6088439671509791,0.4,0.0,0.4632352941176471,0.30434782608695654,0.3333333333333333
ZNF669,0.0,0.0,0.014403032217308907,0.0,0.0,0.011029411764705883,0.0,0.0
UBE2R2,0.0,0.15384615384615385,0.24535691724573594,0.0,0.0,0.13970588235294118,0.1,0.0
SIK3,0.0,0.0,0.025647504737839544,0.0,0.0,0.03676470588235294,0.008695652173913044,0.0
MLEC,0.06666666666666667,0.23076923076923078,0.2706253948199621,0.0,0.0,0.21691176470588236,0.08260869565217391,0.6666666666666666
SPTBN1,0.06666666666666667,0.46153846153846156,0.0030322173089071384,0.0,0.0,0.051470588235294115,0.0,0.0
NUDT16,0.06666666666666667,0.15384615384615385,0.14339861023373343,0.0,0.0,0.08823529411764706,0.05217391304347826,0.0
FAM219B,0.06666666666666667,0.07692307692307693,0.08161718256475048,0.0,0.0,0.03308823529411765,0.021739130434782608,0.0
OPA1,0.0,0.3076923076923077,0.07567909033480733,0.0,0.0,0.07352941176470588,0.034782608695652174,0.0
UBAC1,0.0,0.23076923076923078,0.10221099178774479,0.2,0.0,0.08088235294117647,0.030434782608695653,0.0
DPY30,0.0,0.7692307692307693,0.3215413771320278,0.0,0.0,0.2867647058823529,0.08260869565217391,0.0
PRPF40B,0.0,0.15384615384615385,0.0055590650663297535,0.0,0.0,0.003676470588235294,0.0,0.0
BANP,0.06666666666666667,0.07692307692307693,0.02173089071383449,0.0,0.0,0.04779411764705882,0.013043478260869565,0.0
MAVS,0.06666666666666667,0.0,0.08136449778900821,0.0,0.0,0.0661764705882353,0.05217391304347826,0.3333333333333333
TMEM147-AS1,0.0,0.15384615384615385,0.01010739102969046,0.0,0.0,0.0,0.008695652173913044,0.0
TXLNG,0.0,0.07692307692307693,0.04649399873657612,0.2,0.0,0.025735294117647058,0.021739130434782608,0.0
SUV39H2,0.0,0.0,0.0032849020846494,0.0,0.0,0.014705882352941176,0.0,0.0
APBB1,0.0,0.15384615384615385,0.0008843967150979153,0.0,0.0,0.007352941176470588,0.0,0.0
AP5Z1,0.0,0.07692307692307693,0.04333543903979785,0.0,0.0,0.04411764705882353,0.02608695652173913,0.0
PTPN11,0.06666666666666667,0.38461538461538464,0.09412507896399241,0.0,0.0,0.051470588235294115,0.05217391304347826,0.0
ATP6V0A2,0.06666666666666667,0.0,0.030322173089071383,0.0,0.0,0.04044117647058824,0.05217391304347826,0.0
PCTP,0.0,0.07692307692307693,0.04447252053063803,0.0,0.0,0.04411764705882353,0.013043478260869565,0.0
COX5B,0.5333333333333333,0.8461538461538461,0.9124447252053064,0.0,1.0,0.6507352941176471,0.5130434782608696,0.6666666666666666
CYTIP,0.13333333333333333,0.0,0.12672141503474416,0.0,0.0,0.1323529411764706,0.16956521739130434,0.3333333333333333
PPM1M,0.06666666666666667,0.23076923076923078,0.14857864813644978,0.2,0.0,0.09191176470588236,0.1,0.0
CXORF56,0.0,0.15384615384615385,0.048515476942514214,0.0,0.0,0.04044117647058824,0.017391304347826087,0.0
MAD2L1,0.0,0.07692307692307693,0.012634238787113077,0.0,0.0,0.25735294117647056,0.008695652173913044,0.0
AC023043.1,0.06666666666666667,0.07692307692307693,0.0020214782059380923,0.0,0.0,0.003676470588235294,0.043478260869565216,0.0
NUP37,0.06666666666666667,0.23076923076923078,0.11446620341124447,0.0,0.0,0.17279411764705882,0.05652173913043478,0.0
AL451085.2,0.0,0.0,0.002147820593809223,0.0,0.0,0.0,0.0,0.0
SAMD1,0.06666666666666667,0.07692307692307693,0.02488945041061276,0.0,0.0,0.0625,0.008695652173913044,0.0
DTX2,0.06666666666666667,0.3076923076923077,0.060518003790271634,0.0,0.0,0.03676470588235294,0.030434782608695653,0.0
TTC8,0.0,0.23076923076923078,0.0279216677195199,0.0,0.0,0.014705882352941176,0.008695652173913044,0.0
