,B,Epithelial,Macrophages,Mast,NK,Neutrophil,Plasma,T,mDC
ETFB,0.35714285714285715,0.5297297297297298,0.3888888888888889,0.125,0.1,0.14,0.0,0.20689655172413793,0.21428571428571427
NFATC2,0.21428571428571427,0.16756756756756758,0.00847457627118644,0.125,0.2375,0.0,0.25,0.2664576802507837,0.07142857142857142
EPS15,0.32142857142857145,0.35135135135135137,0.1864406779661017,0.25,0.175,0.08,0.0,0.22413793103448276,0.21428571428571427
ZNF616,0.03571428571428571,0.08108108108108109,0.025423728813559324,0.0,0.025,0.0,0.0,0.014106583072100314,0.07142857142857142
CLASP2,0.07142857142857142,0.15675675675675677,0.0847457627118644,0.0,0.1,0.04,0.0,0.061128526645768025,0.21428571428571427
RPA2,0.32142857142857145,0.23783783783783785,0.14689265536723164,0.25,0.2,0.04,0.0,0.22570532915360503,0.21428571428571427
TRDMT1,0.07142857142857142,0.043243243243243246,0.02824858757062147,0.0,0.025,0.02,0.0,0.0219435736677116,0.07142857142857142
TPST2,0.07142857142857142,0.2648648648648649,0.268361581920904,0.125,0.2875,0.08,0.0,0.14576802507836992,0.14285714285714285
UBE2V1,0.21428571428571427,0.4918918918918919,0.2015065913370998,0.0,0.075,0.06,0.0,0.13793103448275862,0.21428571428571427
PIN4,0.14285714285714285,0.4972972972972973,0.13088512241054615,0.0,0.125,0.06,0.0,0.15517241379310345,0.07142857142857142
RASGRP2,0.32142857142857145,0.016216216216216217,0.09981167608286252,0.125,0.1125,0.02,0.0,0.2836990595611285,0.07142857142857142
PDIA4,0.10714285714285714,0.7243243243243244,0.4736346516007533,0.0,0.275,0.08,0.0,0.26332288401253917,0.2857142857142857
CTDSPL2,0.10714285714285714,0.1945945945945946,0.038606403013182675,0.125,0.0875,0.02,0.0,0.07993730407523511,0.07142857142857142
GRK3,0.14285714285714285,0.07567567567567568,0.062146892655367235,0.0,0.0,0.02,0.25,0.001567398119122257,0.2857142857142857
LIN7C,0.03571428571428571,0.3675675675675676,0.07627118644067797,0.0,0.025,0.0,0.0,0.048589341692789965,0.0
CGRRF1,0.03571428571428571,0.21621621621621623,0.11958568738229755,0.25,0.0625,0.02,0.0,0.06583072100313479,0.07142857142857142
NPIPB4,0.17857142857142858,0.2864864864864865,0.11016949152542373,0.125,0.1125,0.0,0.25,0.09404388714733543,0.21428571428571427
KATNA1,0.0,0.13513513513513514,0.08757062146892655,0.125,0.0375,0.02,0.0,0.06426332288401254,0.07142857142857142
TARS2,0.10714285714285714,0.13513513513513514,0.027306967984934087,0.0,0.025,0.0,0.0,0.047021943573667714,0.0
SPRYD4,0.0,0.1783783783783784,0.07250470809792843,0.0,0.0,0.0,0.0,0.02664576802507837,0.07142857142857142
ATG16L2,0.03571428571428571,0.10270270270270271,0.1111111111111111,0.5,0.1875,0.12,0.5,0.0987460815047022,0.21428571428571427
ZFAS1,0.8571428571428571,0.918918918918919,0.6544256120527306,0.5,0.6375,0.56,0.25,0.7100313479623824,0.7857142857142857
VMP1,0.21428571428571427,0.8,0.576271186440678,0.375,0.0875,0.38,0.25,0.2413793103448276,0.21428571428571427
SIAH2,0.21428571428571427,0.4702702702702703,0.3549905838041431,0.125,0.125,0.24,0.25,0.13322884012539185,0.42857142857142855
NDUFA12,0.5714285714285714,0.7675675675675676,0.6431261770244822,0.625,0.3,0.18,0.0,0.49059561128526646,0.5
HNRNPM,0.32142857142857145,0.6756756756756757,0.3022598870056497,0.625,0.35,0.14,0.25,0.29310344827586204,0.42857142857142855
TCTEX1D2,0.0,0.2594594594594595,0.00847457627118644,0.0,0.0125,0.0,0.0,0.0438871473354232,0.0
VPS33B,0.03571428571428571,0.06486486486486487,0.026365348399246705,0.0,0.0,0.0,0.0,0.009404388714733543,0.0
OTUD5,0.17857142857142858,0.31891891891891894,0.13088512241054615,0.0,0.1625,0.06,0.0,0.08620689655172414,0.21428571428571427
GSTT2B,0.0,0.032432432432432434,0.005649717514124294,0.0,0.0,0.04,0.0,0.001567398119122257,0.0
VARS2,0.14285714285714285,0.1945945945945946,0.021657250470809793,0.0,0.05,0.0,0.0,0.03134796238244514,0.0
RALGAPA1,0.10714285714285714,0.2756756756756757,0.05273069679849341,0.25,0.175,0.0,0.0,0.13322884012539185,0.0
PYCR3,0.0,0.07027027027027027,0.007532956685499058,0.0,0.0125,0.0,0.0,0.014106583072100314,0.07142857142857142
AL117335.1,0.0,0.005405405405405406,0.011299435028248588,0.0,0.0,0.0,0.0,0.0,0.0
CXADR,0.0,0.5081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOC4L,0.0,0.22162162162162163,0.1016949152542373,0.0,0.075,0.02,0.0,0.05956112852664577,0.07142857142857142
KIF21B,0.0,0.03783783783783784,0.027306967984934087,0.0,0.1,0.02,0.0,0.09717868338557993,0.0
MAPK3,0.07142857142857142,0.4864864864864865,0.060263653483992465,0.0,0.0375,0.0,0.0,0.02821316614420063,0.07142857142857142
COX7C,0.9642857142857143,0.972972972972973,0.763653483992467,0.75,0.8,0.34,0.75,0.8103448275862069,0.8571428571428571
SF3B6,0.4642857142857143,0.7891891891891892,0.5602636534839924,0.375,0.275,0.38,0.5,0.3542319749216301,0.42857142857142855
MARCKSL1,0.10714285714285714,0.572972972972973,0.10357815442561205,0.125,0.075,0.12,0.25,0.08307210031347963,0.42857142857142855
ABCD3,0.0,0.34594594594594597,0.0423728813559322,0.375,0.075,0.0,0.0,0.05172413793103448,0.0
EIF3E,0.7857142857142857,0.6594594594594595,0.3258003766478343,0.625,0.4375,0.08,0.0,0.5172413793103449,0.42857142857142855
RNF138,0.39285714285714285,0.2594594594594595,0.17890772128060264,0.0,0.1,0.14,0.0,0.13636363636363635,0.2857142857142857
ZFP69,0.0,0.010810810810810811,0.006591337099811676,0.0,0.0125,0.0,0.0,0.007836990595611285,0.0
MAP4K3,0.0,0.3945945945945946,0.06497175141242938,0.0,0.0125,0.04,0.0,0.014106583072100314,0.07142857142857142
FICD,0.03571428571428571,0.14054054054054055,0.07062146892655367,0.0,0.0125,0.02,0.0,0.0109717868338558,0.0
CDK10,0.17857142857142858,0.2918918918918919,0.05367231638418079,0.0,0.1625,0.02,0.0,0.10815047021943573,0.0
AL117339.5,0.10714285714285714,0.04864864864864865,0.026365348399246705,0.125,0.025,0.02,0.0,0.05799373040752351,0.14285714285714285
SERPINB1,0.6071428571428571,0.8540540540540541,0.6045197740112994,0.625,0.2625,0.34,0.5,0.3510971786833856,0.7857142857142857
KLHL17,0.0,0.032432432432432434,0.00847457627118644,0.125,0.05,0.0,0.0,0.01567398119122257,0.0
CEP95,0.14285714285714285,0.17297297297297298,0.06591337099811675,0.0,0.15,0.06,0.0,0.08934169278996865,0.0
PNPLA4,0.0,0.24864864864864866,0.02824858757062147,0.125,0.0375,0.0,0.0,0.014106583072100314,0.0
SEC24B,0.0,0.3027027027027027,0.08286252354048965,0.125,0.125,0.02,0.0,0.05329153605015674,0.14285714285714285
ZNF18,0.0,0.08648648648648649,0.023540489642184557,0.0,0.0125,0.0,0.0,0.023510971786833857,0.0
MXRA7,0.0,0.2918918918918919,0.017890772128060263,0.0,0.075,0.0,0.0,0.02037617554858934,0.0
UBE2J2,0.07142857142857142,0.41081081081081083,0.1854990583804143,0.125,0.2,0.1,0.0,0.15830721003134796,0.21428571428571427
NUDT19,0.03571428571428571,0.17297297297297298,0.0160075329566855,0.0,0.025,0.0,0.0,0.02037617554858934,0.0
RNF20,0.03571428571428571,0.14054054054054055,0.06497175141242938,0.125,0.075,0.02,0.0,0.05172413793103448,0.07142857142857142
OLR1,0.0,0.010810810810810811,0.15630885122410546,0.0,0.0,0.06,0.0,0.0,0.07142857142857142
RPS20,0.9285714285714286,0.8486486486486486,0.7297551789077212,0.625,0.5875,0.4,0.5,0.6175548589341693,0.7857142857142857
GPHN,0.03571428571428571,0.12432432432432433,0.009416195856873822,0.125,0.025,0.02,0.0,0.07523510971786834,0.0
EIF4A1,0.42857142857142855,0.7567567567567568,0.748587570621469,0.125,0.325,0.28,0.25,0.34169278996865204,0.7142857142857143
WSB2,0.17857142857142858,0.31351351351351353,0.1440677966101695,0.0,0.0,0.08,0.0,0.02821316614420063,0.21428571428571427
ZBTB46,0.0,0.03783783783783784,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
SYMPK,0.21428571428571427,0.32972972972972975,0.13465160075329566,0.25,0.05,0.04,0.0,0.07366771159874608,0.2857142857142857
CCDC117,0.07142857142857142,0.2594594594594595,0.0847457627118644,0.0,0.0375,0.02,0.0,0.0438871473354232,0.14285714285714285
HPS4,0.10714285714285714,0.23783783783783785,0.05649717514124294,0.25,0.0375,0.02,0.0,0.06739811912225706,0.07142857142857142
FAM149B1,0.03571428571428571,0.15675675675675677,0.025423728813559324,0.0,0.0,0.02,0.0,0.007836990595611285,0.0
HADH,0.10714285714285714,0.3081081081081081,0.026365348399246705,0.0,0.0125,0.02,0.0,0.07523510971786834,0.07142857142857142
CCT7,0.42857142857142855,0.6,0.2617702448210923,0.125,0.225,0.06,0.25,0.3338557993730408,0.21428571428571427
TRIM2,0.0,0.6756756756756757,0.0009416195856873823,0.0,0.0,0.0,0.0,0.0,0.0
RILP,0.03571428571428571,0.21621621621621623,0.1911487758945386,0.0,0.025,0.04,0.0,0.017241379310344827,0.35714285714285715
ACYP2,0.21428571428571427,0.4648648648648649,0.07250470809792843,0.125,0.0875,0.02,0.0,0.08150470219435736,0.21428571428571427
ZNF865,0.10714285714285714,0.08648648648648649,0.044256120527306965,0.0,0.0,0.04,0.0,0.014106583072100314,0.07142857142857142
SELENOM,0.03571428571428571,0.32432432432432434,0.08945386064030132,0.0,0.0625,0.02,0.0,0.06739811912225706,0.0
VCAN,0.0,0.021621621621621623,0.1967984934086629,0.0,0.0,0.06,0.0,0.0,0.07142857142857142
SMIM26,0.42857142857142855,0.8486486486486486,0.4811676082862524,0.375,0.175,0.18,0.0,0.2617554858934169,0.5714285714285714
MRPL48,0.03571428571428571,0.2594594594594595,0.03672316384180791,0.0,0.075,0.0,0.0,0.0768025078369906,0.0
TBC1D22A,0.14285714285714285,0.2,0.07532956685499058,0.125,0.05,0.02,0.0,0.08307210031347963,0.0
NDUFB9,0.6428571428571429,0.8324324324324325,0.6572504708097928,0.25,0.275,0.32,0.0,0.46865203761755486,0.42857142857142855
CCDC50,0.5357142857142857,0.4648648648648649,0.0847457627118644,0.125,0.05,0.02,0.25,0.03761755485893417,0.2857142857142857
SDC4,0.0,0.7837837837837838,0.3314500941619586,0.0,0.0125,0.08,0.0,0.009404388714733543,0.21428571428571427
ZBED3-AS1,0.03571428571428571,0.016216216216216217,0.005649717514124294,0.0,0.0125,0.02,0.0,0.003134796238244514,0.0
COQ3,0.03571428571428571,0.07027027027027027,0.009416195856873822,0.0,0.0,0.0,0.0,0.0109717868338558,0.0
ITPKC,0.0,0.5351351351351351,0.04990583804143126,0.0,0.0,0.0,0.0,0.004702194357366771,0.0
CD226,0.10714285714285714,0.04864864864864865,0.014124293785310734,0.0,0.1625,0.0,0.0,0.1677115987460815,0.14285714285714285
RNF7,0.5,0.9243243243243243,0.5781544256120528,0.5,0.4,0.28,0.5,0.3683385579937304,0.5
KRIT1,0.03571428571428571,0.34594594594594597,0.05367231638418079,0.125,0.1,0.02,0.0,0.09247648902821316,0.0
AKAP9,0.21428571428571427,0.7081081081081081,0.1064030131826742,0.125,0.2125,0.04,0.0,0.2836990595611285,0.2857142857142857
MCM10,0.0,0.016216216216216217,0.0009416195856873823,0.0,0.0,0.0,0.0,0.006269592476489028,0.0
ZNF394,0.14285714285714285,0.33513513513513515,0.10922787193973635,0.125,0.15,0.06,0.25,0.10501567398119123,0.07142857142857142
ZSCAN25,0.0,0.04864864864864865,0.0160075329566855,0.0,0.0125,0.0,0.0,0.017241379310344827,0.0
ABCE1,0.03571428571428571,0.22162162162162163,0.05649717514124294,0.0,0.1,0.0,0.0,0.06583072100313479,0.21428571428571427
DAGLB,0.0,0.21081081081081082,0.06591337099811675,0.25,0.0375,0.06,0.0,0.025078369905956112,0.14285714285714285
EEF1AKMT2,0.10714285714285714,0.2,0.05273069679849341,0.0,0.0875,0.02,0.0,0.08620689655172414,0.21428571428571427
MICB,0.14285714285714285,0.02702702702702703,0.15065913370998116,0.0,0.0375,0.04,0.0,0.0987460815047022,0.35714285714285715
STT3A,0.10714285714285714,0.2918918918918919,0.1647834274952919,0.375,0.1,0.06,0.0,0.07366771159874608,0.14285714285714285
NAAA,0.21428571428571427,0.15675675675675677,0.08757062146892655,0.25,0.0125,0.02,0.0,0.08463949843260188,0.2857142857142857
PPWD1,0.17857142857142858,0.1837837837837838,0.0423728813559322,0.0,0.1125,0.06,0.0,0.14420062695924765,0.07142857142857142
RPL13A,0.8928571428571429,0.9621621621621622,0.751412429378531,0.75,0.9125,0.38,0.75,0.8840125391849529,0.7857142857142857
SCCPDH,0.0,0.3837837837837838,0.2137476459510358,0.0,0.0375,0.04,0.0,0.017241379310344827,0.14285714285714285
PYROXD1,0.10714285714285714,0.3567567567567568,0.09887005649717515,0.125,0.05,0.02,0.0,0.07053291536050156,0.07142857142857142
POLR2H,0.25,0.518918918918919,0.2231638418079096,0.125,0.0625,0.04,0.0,0.14420062695924765,0.2857142857142857
PLA2G7,0.0,0.02702702702702703,0.5602636534839924,0.0,0.0,0.2,0.0,0.003134796238244514,0.21428571428571427
ABCC1,0.07142857142857142,0.35135135135135137,0.1318267419962335,0.125,0.125,0.06,0.0,0.09247648902821316,0.07142857142857142
PTGES3,0.7857142857142857,0.8864864864864865,0.743879472693032,0.5,0.6625,0.24,0.75,0.64576802507837,0.8571428571428571
ZNF630,0.03571428571428571,0.04864864864864865,0.004708097928436911,0.0,0.0125,0.0,0.0,0.006269592476489028,0.0
SPSB2,0.0,0.35135135135135137,0.05555555555555555,0.125,0.0125,0.0,0.0,0.06896551724137931,0.0
ARHGAP24,0.2857142857142857,0.13513513513513514,0.10263653483992467,0.0,0.0,0.08,0.0,0.001567398119122257,0.07142857142857142
ATP5MC2,0.8928571428571429,0.9243243243243243,0.7184557438794726,0.75,0.7,0.36,0.75,0.7617554858934169,1.0
IFI30,0.6071428571428571,0.4918918918918919,0.987758945386064,0.25,0.05,0.88,0.0,0.08150470219435736,0.7142857142857143
PILRB,0.21428571428571427,0.4540540540540541,0.046139359698681735,0.125,0.1875,0.02,0.0,0.10658307210031348,0.0
IKBKB,0.10714285714285714,0.3945945945945946,0.10451977401129943,0.25,0.075,0.02,0.0,0.11285266457680251,0.21428571428571427
MTR,0.14285714285714285,0.10810810810810811,0.038606403013182675,0.0,0.125,0.0,0.0,0.11442006269592477,0.07142857142857142
C6ORF120,0.03571428571428571,0.23783783783783785,0.15160075329566855,0.125,0.0375,0.02,0.0,0.029780564263322883,0.07142857142857142
EDC4,0.14285714285714285,0.11891891891891893,0.047080979284369114,0.0,0.05,0.0,0.0,0.045454545454545456,0.0
COX10,0.07142857142857142,0.1945945945945946,0.059322033898305086,0.125,0.025,0.0,0.0,0.06739811912225706,0.14285714285714285
NDUFA8,0.10714285714285714,0.5243243243243243,0.15725047080979285,0.0,0.1375,0.02,0.0,0.13479623824451412,0.14285714285714285
LZTS3,0.0,0.2810810810810811,0.0,0.0,0.0,0.0,0.0,0.001567398119122257,0.0
LINC01871,0.0,0.005405405405405406,0.0018832391713747645,0.0,0.3,0.0,0.0,0.19905956112852666,0.0
TPMT,0.0,0.2972972972972973,0.2344632768361582,0.0,0.025,0.1,0.0,0.04075235109717868,0.14285714285714285
SAMD8,0.14285714285714285,0.3081081081081081,0.08286252354048965,0.25,0.0375,0.02,0.0,0.045454545454545456,0.0
ARFGAP1,0.07142857142857142,0.3027027027027027,0.11581920903954802,0.0,0.1125,0.06,0.0,0.05329153605015674,0.0
COG6,0.10714285714285714,0.1945945945945946,0.013182674199623353,0.0,0.025,0.0,0.0,0.029780564263322883,0.0
PPP1R3E,0.07142857142857142,0.12432432432432433,0.05555555555555555,0.125,0.05,0.02,0.0,0.05329153605015674,0.0
COX7A2L,0.6071428571428571,0.772972972972973,0.3653483992467043,0.25,0.3625,0.1,0.25,0.3338557993730408,0.5
TMEM54,0.0,0.6378378378378379,0.0009416195856873823,0.0,0.0,0.0,0.0,0.0,0.0
PUDP,0.03571428571428571,0.3945945945945946,0.054613935969868174,0.125,0.05,0.0,0.0,0.06269592476489028,0.07142857142857142
TBC1D14,0.03571428571428571,0.32432432432432434,0.1120527306967985,0.375,0.05,0.0,0.25,0.07836990595611286,0.0
APOBR,0.03571428571428571,0.005405405405405406,0.1647834274952919,0.125,0.0,0.08,0.0,0.018808777429467086,0.07142857142857142
JUND,0.35714285714285715,0.8810810810810811,0.6836158192090396,0.375,0.375,0.42,0.25,0.24921630094043887,0.5
TSTD1,0.4642857142857143,0.8108108108108109,0.062146892655367235,0.5,0.2875,0.02,0.25,0.384012539184953,0.35714285714285715
TPX2,0.0,0.016216216216216217,0.0018832391713747645,0.0,0.0,0.0,0.0,0.02037617554858934,0.0
C1ORF74,0.03571428571428571,0.10810810810810811,0.005649717514124294,0.0,0.0,0.0,0.0,0.006269592476489028,0.0
FBXO32,0.03571428571428571,0.4918918918918919,0.018832391713747645,0.0,0.125,0.02,0.25,0.10501567398119123,0.07142857142857142
TEAD1,0.0,0.5135135135135135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLPI,0.14285714285714285,0.9891891891891892,0.1431261770244821,0.125,0.05,0.14,0.0,0.09717868338557993,0.21428571428571427
NFKBIA,0.42857142857142855,0.7675675675675676,0.9143126177024482,0.875,0.475,0.74,0.5,0.6144200626959248,0.5
LILRA5,0.0,0.010810810810810811,0.4858757062146893,0.0,0.0,0.18,0.25,0.004702194357366771,0.07142857142857142
WDR83,0.14285714285714285,0.12972972972972974,0.02824858757062147,0.125,0.0625,0.0,0.0,0.05799373040752351,0.0
ARMCX4,0.03571428571428571,0.05405405405405406,0.013182674199623353,0.0,0.0,0.0,0.0,0.001567398119122257,0.0
PTGR1,0.03571428571428571,0.4648648648648649,0.11958568738229755,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
EIF3F,0.7857142857142857,0.745945945945946,0.3370998116760829,0.25,0.575,0.02,0.25,0.5407523510971787,0.5714285714285714
YWHAE,0.2857142857142857,0.9351351351351351,0.652542372881356,0.625,0.125,0.36,0.25,0.2507836990595611,0.5714285714285714
CUEDC1,0.0,0.32432432432432434,0.07909604519774012,0.0,0.0,0.0,0.0,0.0,0.0
HECTD1,0.2857142857142857,0.7675675675675676,0.1713747645951036,0.0,0.25,0.1,0.0,0.21786833855799373,0.2857142857142857
CCDC69,0.32142857142857145,0.34054054054054056,0.1016949152542373,0.375,0.275,0.06,0.25,0.22100313479623823,0.2857142857142857
MEF2A,0.42857142857142855,0.3837837837837838,0.3022598870056497,0.25,0.1375,0.1,0.0,0.09247648902821316,0.5
AC092279.1,0.0,0.10270270270270271,0.00847457627118644,0.125,0.0,0.0,0.0,0.0109717868338558,0.0
DNAJC5B,0.0,0.010810810810810811,0.007532956685499058,0.0,0.0,0.0,0.0,0.0,0.35714285714285715
PTRH1,0.03571428571428571,0.2,0.08945386064030132,0.0,0.0,0.02,0.0,0.04231974921630094,0.14285714285714285
TMEM177,0.0,0.08108108108108109,0.009416195856873822,0.0,0.0125,0.0,0.0,0.018808777429467086,0.0
COMMD7,0.0,0.2756756756756757,0.14218455743879474,0.125,0.0375,0.08,0.0,0.0877742946708464,0.14285714285714285
ABCB8,0.10714285714285714,0.2810810810810811,0.05649717514124294,0.0,0.05,0.04,0.0,0.05956112852664577,0.14285714285714285
CBWD5,0.17857142857142858,0.2756756756756757,0.13088512241054615,0.25,0.05,0.06,0.0,0.07523510971786834,0.2857142857142857
PAK4,0.03571428571428571,0.3027027027027027,0.023540489642184557,0.125,0.0125,0.04,0.0,0.014106583072100314,0.0
RALB,0.10714285714285714,0.3783783783783784,0.2834274952919021,0.375,0.125,0.22,0.5,0.13793103448275862,0.14285714285714285
MALSU1,0.10714285714285714,0.3783783783783784,0.1497175141242938,0.0,0.0375,0.06,0.0,0.09561128526645768,0.2857142857142857
ZNF649,0.03571428571428571,0.06486486486486487,0.035781544256120526,0.0,0.0625,0.04,0.0,0.006269592476489028,0.0
DLEU2,0.10714285714285714,0.03783783783783784,0.062146892655367235,0.0,0.05,0.06,0.0,0.04075235109717868,0.21428571428571427
SUPV3L1,0.07142857142857142,0.12432432432432433,0.03295668549905838,0.125,0.0375,0.0,0.0,0.05956112852664577,0.0
CNOT10,0.0,0.23783783783783785,0.04896421845574388,0.0,0.0375,0.06,0.0,0.045454545454545456,0.07142857142857142
ENOX2,0.07142857142857142,0.13513513513513514,0.02919020715630885,0.0,0.0,0.0,0.25,0.03134796238244514,0.0
PXMP4,0.0,0.0918918918918919,0.01224105461393597,0.0,0.0125,0.02,0.0,0.023510971786833857,0.0
PLA2G4A,0.0,0.032432432432432434,0.02824858757062147,0.0,0.0,0.0,0.0,0.0,0.0
NUP210,0.32142857142857145,0.06486486486486487,0.022598870056497175,0.25,0.1,0.02,0.0,0.13479623824451412,0.21428571428571427
WNK1,0.25,0.5027027027027027,0.2824858757062147,0.125,0.25,0.1,0.25,0.25705329153605017,0.07142857142857142
DAPL1,0.0,0.24324324324324326,0.01224105461393597,0.0,0.0,0.0,0.0,0.001567398119122257,0.0
CTF1,0.0,0.04864864864864865,0.003766478342749529,0.0,0.0,0.0,0.0,0.0,0.0
SNRPE,0.2857142857142857,0.6324324324324324,0.3427495291902072,0.125,0.125,0.18,0.25,0.21473354231974923,0.2857142857142857
PPRC1,0.07142857142857142,0.23783783783783785,0.03672316384180791,0.0,0.025,0.0,0.0,0.03134796238244514,0.07142857142857142
TEPSIN,0.14285714285714285,0.12972972972972974,0.05273069679849341,0.125,0.05,0.0,0.0,0.05956112852664577,0.07142857142857142
PPP1R13L,0.0,0.5081081081081081,0.0018832391713747645,0.0,0.0,0.0,0.0,0.017241379310344827,0.0
ZNF880,0.03571428571428571,0.16216216216216217,0.030131826741996232,0.25,0.05,0.0,0.0,0.07053291536050156,0.07142857142857142
FAM89B,0.0,0.23783783783783785,0.06308851224105462,0.0,0.0,0.02,0.0,0.050156739811912224,0.07142857142857142
SLC25A28,0.0,0.5081081081081081,0.1704331450094162,0.0,0.075,0.06,0.0,0.054858934169279,0.07142857142857142
AC026785.2,0.0,0.005405405405405406,0.0160075329566855,0.0,0.0,0.02,0.0,0.001567398119122257,0.0
PPM1B,0.07142857142857142,0.41621621621621624,0.12146892655367232,0.25,0.175,0.06,0.25,0.13949843260188088,0.21428571428571427
BAIAP2,0.0,0.827027027027027,0.11958568738229755,0.375,0.0125,0.02,0.0,0.0109717868338558,0.2857142857142857
PFDN5,1.0,0.9351351351351351,0.9030131826741996,0.875,0.8875,0.62,0.75,0.8072100313479624,0.9285714285714286
EIF2AK4,0.25,0.32432432432432434,0.1064030131826742,0.0,0.0125,0.0,0.0,0.03134796238244514,0.21428571428571427
NUF2,0.0,0.010810810810810811,0.002824858757062147,0.0,0.0,0.0,0.0,0.014106583072100314,0.0
GFOD2,0.03571428571428571,0.15135135135135136,0.018832391713747645,0.0,0.0375,0.0,0.0,0.03761755485893417,0.0
CCDC167,0.14285714285714285,0.2,0.16290018832391714,0.0,0.075,0.0,0.0,0.11285266457680251,0.14285714285714285
RNF44,0.17857142857142858,0.3621621621621622,0.0423728813559322,0.0,0.2125,0.02,0.0,0.15987460815047022,0.0
MYO7A,0.0,0.010810810810810811,0.0951035781544256,0.0,0.0,0.02,0.0,0.0,0.0
MAFF,0.03571428571428571,0.7513513513513513,0.3088512241054614,0.125,0.1375,0.22,0.0,0.0438871473354232,0.35714285714285715
INO80D,0.0,0.25405405405405407,0.064030131826742,0.0,0.0625,0.02,0.0,0.05799373040752351,0.14285714285714285
SPTAN1,0.2857142857142857,0.745945945945946,0.1393596986817326,0.25,0.1625,0.0,0.0,0.2946708463949843,0.14285714285714285
TREM1,0.0,0.021621621621621623,0.5357815442561206,0.125,0.0125,0.34,0.0,0.006269592476489028,0.07142857142857142
DXO,0.07142857142857142,0.21081081081081082,0.02824858757062147,0.0,0.0875,0.0,0.25,0.07053291536050156,0.07142857142857142
STRIP1,0.07142857142857142,0.24864864864864866,0.09133709981167608,0.0,0.025,0.06,0.0,0.06583072100313479,0.21428571428571427
UBE2C,0.0,0.032432432432432434,0.004708097928436911,0.0,0.0,0.0,0.0,0.017241379310344827,0.0
SFXN1,0.2857142857142857,0.21621621621621623,0.018832391713747645,0.0,0.15,0.0,0.0,0.1896551724137931,0.14285714285714285
PSMB1,0.6071428571428571,0.8810810810810811,0.6713747645951036,0.875,0.4875,0.24,0.5,0.46394984326018807,0.5714285714285714
AURKAIP1,0.42857142857142855,0.9027027027027027,0.60075329566855,0.375,0.3125,0.24,0.25,0.3714733542319749,0.35714285714285715
NOL4L,0.07142857142857142,0.17297297297297298,0.0160075329566855,0.0,0.05,0.0,0.0,0.029780564263322883,0.14285714285714285
PPIL1,0.0,0.14054054054054055,0.06120527306967985,0.0,0.025,0.0,0.0,0.034482758620689655,0.0
SLC38A7,0.0,0.10810810810810811,0.2589453860640301,0.0,0.0375,0.08,0.0,0.017241379310344827,0.07142857142857142
PLEKHG2,0.03571428571428571,0.3081081081081081,0.2730696798493409,0.0,0.025,0.12,0.0,0.06896551724137931,0.21428571428571427
CLASP1,0.07142857142857142,0.21621621621621623,0.04896421845574388,0.0,0.2125,0.04,0.0,0.07993730407523511,0.0
FBXO48,0.0,0.07567567567567568,0.015065913370998116,0.0,0.0,0.0,0.0,0.009404388714733543,0.0
ABHD17B,0.03571428571428571,0.2594594594594595,0.05649717514124294,0.125,0.0125,0.0,0.0,0.0219435736677116,0.0
LYZ,0.0,0.2,0.7871939736346516,0.0,0.0,0.46,0.0,0.006269592476489028,0.21428571428571427
IFT52,0.0,0.21081081081081082,0.04990583804143126,0.125,0.0375,0.02,0.25,0.029780564263322883,0.0
AC012360.3,0.0,0.032432432432432434,0.006591337099811676,0.0,0.025,0.02,0.0,0.007836990595611285,0.0
NAPRT,0.07142857142857142,0.572972972972973,0.1977401129943503,0.375,0.0125,0.06,0.0,0.034482758620689655,0.07142857142857142
LZIC,0.03571428571428571,0.2864864864864865,0.12900188323917136,0.0,0.025,0.02,0.5,0.09717868338557993,0.35714285714285715
MRPS33,0.10714285714285714,0.42162162162162165,0.08662900188323917,0.125,0.05,0.0,0.0,0.15830721003134796,0.21428571428571427
RARS2,0.03571428571428571,0.13513513513513514,0.07156308851224105,0.0,0.05,0.04,0.0,0.054858934169279,0.0
SF3A1,0.2857142857142857,0.43783783783783786,0.1760828625235405,0.25,0.15,0.06,0.0,0.21786833855799373,0.42857142857142855
MTRNR2L1,0.10714285714285714,0.08648648648648649,0.032015065913371,0.0,0.025,0.0,0.0,0.029780564263322883,0.0
HGH1,0.0,0.043243243243243246,0.025423728813559324,0.0,0.0625,0.0,0.0,0.03134796238244514,0.07142857142857142
FAM117B,0.14285714285714285,0.04864864864864865,0.002824858757062147,0.0,0.025,0.0,0.0,0.018808777429467086,0.0
CORO1C,0.03571428571428571,0.41621621621621624,0.4821092278719397,0.125,0.0625,0.2,0.0,0.032915360501567396,0.21428571428571427
GZMB,0.0,0.10270270270270271,0.010357815442561206,0.25,0.575,0.0,0.0,0.2225705329153605,0.07142857142857142
ZNF514,0.0,0.16756756756756758,0.013182674199623353,0.0,0.0125,0.0,0.0,0.0219435736677116,0.07142857142857142
FAM104B,0.07142857142857142,0.20540540540540542,0.03672316384180791,0.125,0.0125,0.0,0.0,0.03605015673981191,0.14285714285714285
RASSF8,0.0,0.043243243243243246,0.004708097928436911,0.0,0.025,0.0,0.0,0.0,0.0
