,B,Epithelial,Macrophages,NK,T,mDC,pDC
TGFBR1,0.0,0.12121212121212122,0.060682361828024674,0.0,0.09433962264150944,0.05217391304347826,0.3333333333333333
KIN,0.2,0.030303030303030304,0.05023290948004532,0.0,0.09433962264150944,0.034782608695652174,0.0
OSM,0.0,0.0,0.00642074782827647,0.0,0.018867924528301886,0.017391304347826087,0.0
WDR77,0.0,0.06060606060606061,0.035754752612363085,0.0,0.018867924528301886,0.02608695652173913,0.0
PYCR2,0.0,0.21212121212121213,0.0842251038650384,0.0,0.18867924528301888,0.043478260869565216,0.0
TCF12,0.0,0.06060606060606061,0.03134835704393806,0.0,0.018867924528301886,0.02608695652173913,0.0
CHFR,0.2,0.06060606060606061,0.030718871962734484,0.0,0.03773584905660377,0.008695652173913044,0.0
OCIAD1,0.4,0.2727272727272727,0.21830542616139997,0.0,0.18867924528301888,0.10434782608695652,0.0
RPS10,0.6,0.7878787878787878,0.9126274707289437,1.0,0.8301886792452831,0.8434782608695652,0.6666666666666666
GABARAPL2,0.2,0.3939393939393939,0.3810902681606446,0.0,0.39622641509433965,0.28695652173913044,1.0
DUSP10,0.2,0.06060606060606061,0.04872214528515674,0.0,0.07547169811320754,0.02608695652173913,0.0
HINT1,0.4,0.8484848484848485,0.67077930253053,1.0,0.7735849056603774,0.5652173913043478,0.6666666666666666
NUP214,0.0,0.15151515151515152,0.2836459775903311,1.0,0.39622641509433965,0.26956521739130435,0.3333333333333333
LETMD1,0.0,0.030303030303030304,0.07654538587435478,0.0,0.09433962264150944,0.043478260869565216,0.3333333333333333
AMFR,0.0,0.06060606060606061,0.1266523983381594,0.0,0.1509433962264151,0.05217391304347826,0.3333333333333333
CEBPG,0.0,0.06060606060606061,0.06030467077930253,0.0,0.1320754716981132,0.008695652173913044,0.0
SNHG7,0.0,0.06060606060606061,0.08447689789751983,0.0,0.11320754716981132,0.0782608695652174,0.3333333333333333
SLC18B1,0.0,0.15151515151515152,0.02467581518318016,0.0,0.018867924528301886,0.0,0.0
GRHPR,0.0,0.06060606060606061,0.11494397582777288,1.0,0.09433962264150944,0.034782608695652174,0.6666666666666666
COMMD6,0.6,0.7575757575757576,0.8662973687523605,0.0,0.9056603773584906,0.7391304347826086,1.0
CCNK,0.0,0.18181818181818182,0.08875739644970414,0.0,0.1320754716981132,0.043478260869565216,0.0
MEI1,0.2,0.030303030303030304,0.002769734357295732,1.0,0.018867924528301886,0.0,0.0
CDC40,0.2,0.06060606060606061,0.15069872844013596,0.0,0.1509433962264151,0.043478260869565216,0.0
TNFSF13,0.2,0.030303030303030304,0.02152838977716228,0.0,0.018867924528301886,0.017391304347826087,0.0
DET1,0.0,0.12121212121212122,0.005791262747072894,0.0,0.0,0.008695652173913044,0.0
CEP152,0.0,0.0,0.014604053883922951,0.0,0.05660377358490566,0.008695652173913044,0.0
ASCC1,0.0,0.0,0.023290948004532293,0.0,0.05660377358490566,0.008695652173913044,0.0
CCDC88B,0.0,0.030303030303030304,0.04129422132695455,0.0,0.07547169811320754,0.008695652173913044,0.0
AL118506.1,0.0,0.030303030303030304,0.0032733224222585926,0.0,0.0,0.0,0.0
MOCOS,0.0,0.06060606060606061,0.004909983633387889,0.0,0.0,0.017391304347826087,0.0
NPAS2,0.0,0.0,0.0005035880649628604,0.0,0.0,0.0,0.0
RNF114,0.0,0.06060606060606061,0.1260229132569558,0.0,0.1320754716981132,0.12173913043478261,0.0
NUTM2A-AS1,0.0,0.030303030303030304,0.06030467077930253,0.0,0.05660377358490566,0.043478260869565216,0.0
GPBP1L1,0.0,0.21212121212121213,0.08586176507616769,0.0,0.09433962264150944,0.09565217391304348,0.0
PEX11B,0.0,0.12121212121212122,0.04494523479793529,0.0,0.018867924528301886,0.034782608695652174,0.0
GATC,0.0,0.030303030303030304,0.025053506231902303,0.0,0.018867924528301886,0.008695652173913044,0.0
RAP1GAP2,0.0,0.0,0.005665365730832179,0.0,0.0,0.0,0.0
GDE1,0.0,0.15151515151515152,0.09404507113181418,0.0,0.07547169811320754,0.043478260869565216,0.0
ANKS3,0.0,0.030303030303030304,0.01410046581896009,0.0,0.0,0.008695652173913044,0.0
FAM157C,0.0,0.0,0.006294850812035755,0.0,0.018867924528301886,0.0,0.0
ENTPD4,0.0,0.030303030303030304,0.02744554954047589,0.0,0.03773584905660377,0.017391304347826087,0.0
RPL41,1.0,1.0,0.9996223089512779,1.0,1.0,1.0,1.0
ARL2BP,0.2,0.12121212121212122,0.07062822611104116,0.0,0.09433962264150944,0.043478260869565216,0.0
TBC1D1,0.0,0.09090909090909091,0.049981115447563895,0.0,0.07547169811320754,0.017391304347826087,0.0
NAF1,0.0,0.030303030303030304,0.012967392672793655,0.0,0.0,0.008695652173913044,0.0
ACAT2,0.4,0.06060606060606061,0.040664736245750975,0.0,0.07547169811320754,0.02608695652173913,0.0
SUPT3H,0.0,0.030303030303030304,0.022409668890847285,0.0,0.05660377358490566,0.008695652173913044,0.0
ACTR8,0.0,0.030303030303030304,0.015233538965126527,0.0,0.03773584905660377,0.008695652173913044,0.0
ALKBH2,0.0,0.030303030303030304,0.014729950900163666,0.0,0.018867924528301886,0.0,0.0
MED9,0.0,0.030303030303030304,0.008057409039405767,0.0,0.03773584905660377,0.0,0.0
CCM2,0.0,0.030303030303030304,0.056779554324562505,0.0,0.07547169811320754,0.034782608695652174,0.0
ITIH4,0.0,0.0,0.003776910487221453,0.0,0.0,0.0,0.0
MORF4L1,0.4,0.6363636363636364,0.5640186327584036,0.0,0.4339622641509434,0.5217391304347826,1.0
ZNF527,0.0,0.0,0.005665365730832179,0.0,0.0,0.0,0.0
LY96,0.6,0.18181818181818182,0.6390532544378699,0.0,0.6792452830188679,0.46956521739130436,1.0
FER,0.0,0.0,0.027823240589198037,0.0,0.03773584905660377,0.017391304347826087,0.0
VAV2,0.0,0.0,0.010071761299257208,0.0,0.0,0.0,0.0
ABHD3,0.0,0.12121212121212122,0.07704897393931764,0.0,0.1509433962264151,0.02608695652173913,0.0
SLK,0.0,0.12121212121212122,0.047337278106508875,0.0,0.05660377358490566,0.02608695652173913,0.0
UTP11,0.0,0.09090909090909091,0.07742666498803978,0.0,0.05660377358490566,0.043478260869565216,0.0
SIPA1L2,0.0,0.030303030303030304,0.03877628100214025,0.0,0.018867924528301886,0.043478260869565216,0.0
NUP155,0.0,0.0,0.013974568802719375,0.0,0.09433962264150944,0.0,0.3333333333333333
SH2D3A,0.0,0.030303030303030304,0.0011330731461664358,0.0,0.0,0.0,0.0
DDX19A,0.0,0.030303030303030304,0.026060682361828024,0.0,0.03773584905660377,0.017391304347826087,0.0
MYO1D,0.0,0.06060606060606061,0.0016366612111292963,0.0,0.0,0.0,0.0
CNN2,0.0,0.030303030303030304,0.09480045322925847,0.0,0.11320754716981132,0.02608695652173913,0.0
SHLD2,0.0,0.0,0.032355533173863776,0.0,0.03773584905660377,0.017391304347826087,0.3333333333333333
TVP23B,0.0,0.06060606060606061,0.0400352511645474,0.0,0.018867924528301886,0.017391304347826087,0.0
KIAA0232,0.0,0.09090909090909091,0.042804985521843135,0.0,0.05660377358490566,0.008695652173913044,0.0
RTN2,0.0,0.0,0.022661462923328716,0.0,0.03773584905660377,0.02608695652173913,0.0
OCRL,0.0,0.0,0.025305300264383733,0.0,0.07547169811320754,0.008695652173913044,0.0
